|n1|rel|n2
0|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel|defines|knows how
1|he does not have , and has no need for ,|defines|a syllogistic , causal demonstration based on the primary principles or first causes of things
2|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things|defines|for instance
3|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy|defines|Thus
4|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel|opposed|he does not have , and has no need for ,
5|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things|opposed|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy
6|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel|Based_on|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things
7|knows how|Based_on|for instance
8|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel|Based_on|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy
9|knows how|Based_on|Thus
10|he does not have , and has no need for ,|Based_on|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things
11|a syllogistic , causal demonstration based on the primary principles or first causes of things|Based_on|for instance
12|he does not have , and has no need for ,|Based_on|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy
13|a syllogistic , causal demonstration based on the primary principles or first causes of things|Based_on|Thus
14|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things|defines|for instance
15|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy|defines|Thus
16|In order time and again , discipline and rigor is required . This can build inflexibility into the system|defines|to be efficient
17|, on the other hand , keeps the long term strategy in mind and is thus more adaptable to the changing environment|defines|Effectiveness
18|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things|opposed|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy
19|In order time and again , discipline and rigor is required . This can build inflexibility into the system|opposed|, on the other hand , keeps the long term strategy in mind and is thus more adaptable to the changing environment
20|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things|Based_on|In order time and again , discipline and rigor is required . This can build inflexibility into the system
21|for instance|Based_on|to be efficient
22|A shipbuilder , , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things|Based_on|, on the other hand , keeps the long term strategy in mind and is thus more adaptable to the changing environment
23|for instance|Based_on|Effectiveness
24|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy|Based_on|In order time and again , discipline and rigor is required . This can build inflexibility into the system
25|Thus|Based_on|to be efficient
26|, he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy|Based_on|, on the other hand , keeps the long term strategy in mind and is thus more adaptable to the changing environment
27|Thus|Based_on|Effectiveness
28|Thus , he needs to wood , when properly sealed , floats|defines|know that
29|he need not wood has this property of buoyancy|defines|be able to show by virtue of what principles and causes
30|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .|defines|shipbuilder
31|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing|defines|scientist
