,n1,rel,n20|is the quality of a statement being true or accurate|defines|Truth
1|An argument is when its conclusion follows logically from the premises|defines|valid
2|A is an argument that is valid and has true premises|defines|sound argument
3|an is an argument that is invalid or has at least one false premises|defines|unsound argument
4|is the quality of a statement being true or accurate|opposed|An argument is when its conclusion follows logically from the premises
5|A is an argument that is valid and has true premises|opposed|an is an argument that is invalid or has at least one false premises
6|is the quality of a statement being true or accurate|Based_on|A is an argument that is valid and has true premises
7|is the quality of a statement being true or accurate|Based_on|an is an argument that is invalid or has at least one false premises
8|An argument is when its conclusion follows logically from the premises|Based_on|A is an argument that is valid and has true premises
9|An argument is when its conclusion follows logically from the premises|Based_on|an is an argument that is invalid or has at least one false premises
10|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|defines|premise
11|A in an argument is the main point the arguer is trying to prove|defines|conclusion
12|The refers to the process of deriving generalizations from specific observations|defines|former
13|the refers to the process of drawing specific conclusions from general statements / observations|defines|latter
14|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|opposed|A in an argument is the main point the arguer is trying to prove
15|The refers to the process of deriving generalizations from specific observations|opposed|the refers to the process of drawing specific conclusions from general statements / observations
16|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|Based_on|The refers to the process of deriving generalizations from specific observations
17|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|Based_on|the refers to the process of drawing specific conclusions from general statements / observations
18|A in an argument is the main point the arguer is trying to prove|Based_on|The refers to the process of deriving generalizations from specific observations
19|A in an argument is the main point the arguer is trying to prove|Based_on|the refers to the process of drawing specific conclusions from general statements / observations
20|is a property of premises and conclusions|defines|truth
21|is a property of arguments|defines|validity
22|is only limited to telling the truth|defines|truthfulness
23|also includes the quality of being sincere|defines|being honest
24|is a property of premises and conclusions|opposed|is a property of arguments
25|is only limited to telling the truth|opposed|also includes the quality of being sincere
26|is a property of premises and conclusions|Based_on|is only limited to telling the truth
27|is a property of premises and conclusions|Based_on|also includes the quality of being sincere
28|is a property of arguments|Based_on|is only limited to telling the truth
29|is a property of arguments|Based_on|also includes the quality of being sincere
30|refers to anything that is owned by a person or an entity|defines|property
31|refer to land and buildings on it|defines|premises
32|can be either tangible , intangible , movable or immovable|defines|Property
33|, which generally refers to a building with the land surrounding it , is tangible and immovable property|defines|Premises
34|refers to anything that is owned by a person or an entity|opposed|refer to land and buildings on it
35|can be either tangible , intangible , movable or immovable|opposed|, which generally refers to a building with the land surrounding it , is tangible and immovable property
36|refers to anything that is owned by a person or an entity|Based_on|can be either tangible , intangible , movable or immovable
37|refers to anything that is owned by a person or an entity|Based_on|, which generally refers to a building with the land surrounding it , is tangible and immovable property
38|refer to land and buildings on it|Based_on|can be either tangible , intangible , movable or immovable
39|refer to land and buildings on it|Based_on|, which generally refers to a building with the land surrounding it , is tangible and immovable property
40|can be either tangible , intangible , movable or immovable|defines|Property
41|, which generally refers to a building with the land surrounding it , is tangible and immovable property|defines|Premises
42|the is determined by various factors such as common sense , personal experience , investigation , etc .|defines|truth of a premise or a conclusion
43|when the conclusion follows logically from the premises|defines|an argument is valid
44|can be either tangible , intangible , movable or immovable|opposed|, which generally refers to a building with the land surrounding it , is tangible and immovable property
45|the is determined by various factors such as common sense , personal experience , investigation , etc .|opposed|when the conclusion follows logically from the premises
46|can be either tangible , intangible , movable or immovable|Based_on|the is determined by various factors such as common sense , personal experience , investigation , etc .
47|can be either tangible , intangible , movable or immovable|Based_on|when the conclusion follows logically from the premises
48|, which generally refers to a building with the land surrounding it , is tangible and immovable property|Based_on|the is determined by various factors such as common sense , personal experience , investigation , etc .
49|, which generally refers to a building with the land surrounding it , is tangible and immovable property|Based_on|when the conclusion follows logically from the premises
50|refers to anything that is owned by a person or an entity|defines|Property
51|refer to land and buildings and other structures on it|defines|premises
52|is the quality of a statement being true or accurate|defines|Truth
53|An argument is when its conclusion follows logically from the premises|defines|valid
54|refers to anything that is owned by a person or an entity|opposed|refer to land and buildings and other structures on it
55|is the quality of a statement being true or accurate|opposed|An argument is when its conclusion follows logically from the premises
56|refers to anything that is owned by a person or an entity|Based_on|is the quality of a statement being true or accurate
57|refers to anything that is owned by a person or an entity|Based_on|An argument is when its conclusion follows logically from the premises
58|refer to land and buildings and other structures on it|Based_on|is the quality of a statement being true or accurate
59|refer to land and buildings and other structures on it|Based_on|An argument is when its conclusion follows logically from the premises
60|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|defines|Property
61|refers to only that portion of the property and/or components of it that are the subject of the lease / sale|defines|premises
62|can be either tangible , intangible , movable or immovable|defines|Property
63|, which generally refers to a building with the land surrounding it , is tangible and immovable property|defines|Premises
64|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|opposed|refers to only that portion of the property and/or components of it that are the subject of the lease / sale
65|can be either tangible , intangible , movable or immovable|opposed|, which generally refers to a building with the land surrounding it , is tangible and immovable property
66|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|Based_on|can be either tangible , intangible , movable or immovable
67|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|Based_on|, which generally refers to a building with the land surrounding it , is tangible and immovable property
68|refers to only that portion of the property and/or components of it that are the subject of the lease / sale|Based_on|can be either tangible , intangible , movable or immovable
69|refers to only that portion of the property and/or components of it that are the subject of the lease / sale|Based_on|, which generally refers to a building with the land surrounding it , is tangible and immovable property
70|is a technical feature of an argument . It helps us to determine whether the conclusion of an argument is true|defines|Soundness
71|A argument is not necessarily a sound argument|defines|valid
72|A is an argument that is valid and has true premises|defines|sound argument
73|an is an argument that is invalid or has at least one false premises|defines|unsound argument
74|is a technical feature of an argument . It helps us to determine whether the conclusion of an argument is true|opposed|A argument is not necessarily a sound argument
75|A is an argument that is valid and has true premises|opposed|an is an argument that is invalid or has at least one false premises
76|is a technical feature of an argument . It helps us to determine whether the conclusion of an argument is true|Based_on|A is an argument that is valid and has true premises
77|is a technical feature of an argument . It helps us to determine whether the conclusion of an argument is true|Based_on|an is an argument that is invalid or has at least one false premises
78|A argument is not necessarily a sound argument|Based_on|A is an argument that is valid and has true premises
79|A argument is not necessarily a sound argument|Based_on|an is an argument that is invalid or has at least one false premises
80|is generally used in cases where there is a limited choice|defines|which
81|is used when the choice is bigger|defines|what
82|is the very essence of a particular man . It is indeed what the person is within . It is not liable to change|defines|Character
83|is liable to change according to the situation . It is after all a kind of surface emotion|defines|Attitude
84|is generally used in cases where there is a limited choice|opposed|is used when the choice is bigger
85|is the very essence of a particular man . It is indeed what the person is within . It is not liable to change|opposed|is liable to change according to the situation . It is after all a kind of surface emotion
86|is generally used in cases where there is a limited choice|Based_on|is the very essence of a particular man . It is indeed what the person is within . It is not liable to change
87|is generally used in cases where there is a limited choice|Based_on|is liable to change according to the situation . It is after all a kind of surface emotion
88|is used when the choice is bigger|Based_on|is the very essence of a particular man . It is indeed what the person is within . It is not liable to change
89|is used when the choice is bigger|Based_on|is liable to change according to the situation . It is after all a kind of surface emotion
90|is the systematic study of the form of arguments|defines|logic
91|is the application of logic to understand and judge something|defines|reason
92|In , knowledge can be verified through scientific methods and mathematical / logical proof ,|defines|positivism
93|in , the experience is the origin of knowledge|defines|empiricism
94|is the systematic study of the form of arguments|opposed|is the application of logic to understand and judge something
95|In , knowledge can be verified through scientific methods and mathematical / logical proof ,|opposed|in , the experience is the origin of knowledge
96|is the systematic study of the form of arguments|Based_on|In , knowledge can be verified through scientific methods and mathematical / logical proof ,
97|is the systematic study of the form of arguments|Based_on|in , the experience is the origin of knowledge
98|is the application of logic to understand and judge something|Based_on|In , knowledge can be verified through scientific methods and mathematical / logical proof ,
99|is the application of logic to understand and judge something|Based_on|in , the experience is the origin of knowledge
100|is the systematic study of the form of arguments|defines|Logic
101|is the power of the mind to think , understand , and form judgments logically|defines|Reason
102|is the systematic study of the form of arguments|defines|Logic
103|is the power of the mind to think , understand , and form judgments logically|defines|Reason
104|is the systematic study of the form of arguments|opposed|is the power of the mind to think , understand , and form judgments logically
105|is the systematic study of the form of arguments|opposed|is the power of the mind to think , understand , and form judgments logically
106|is the systematic study of the form of arguments|Based_on|is the systematic study of the form of arguments
107|is the systematic study of the form of arguments|Based_on|is the power of the mind to think , understand , and form judgments logically
108|is the power of the mind to think , understand , and form judgments logically|Based_on|is the systematic study of the form of arguments
109|is the power of the mind to think , understand , and form judgments logically|Based_on|is the power of the mind to think , understand , and form judgments logically
110|is a noun|defines|Logic
111|is a noun and a verb|defines|Reason
112|is the systematic study of the form of arguments|defines|logic
113|is the application of logic to understand and judge something|defines|reason
114|is a noun|opposed|is a noun and a verb
115|is the systematic study of the form of arguments|opposed|is the application of logic to understand and judge something
116|is a noun|Based_on|is the systematic study of the form of arguments
117|is a noun|Based_on|is the application of logic to understand and judge something
118|is a noun and a verb|Based_on|is the systematic study of the form of arguments
119|is a noun and a verb|Based_on|is the application of logic to understand and judge something
120|A simply refers to a cause or explanation . It explains why someone did something or why something happened|defines|reason
121|An , on the other hand , is also a type of reason that specifically justifies or defends a fault|defines|excuse
122|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|defines|Reason
123|has nothing to do with judgment , conception , reasoning and intuition for that matter|defines|cause
124|A simply refers to a cause or explanation . It explains why someone did something or why something happened|opposed|An , on the other hand , is also a type of reason that specifically justifies or defends a fault
125|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|opposed|has nothing to do with judgment , conception , reasoning and intuition for that matter
126|A simply refers to a cause or explanation . It explains why someone did something or why something happened|Based_on|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too
127|A simply refers to a cause or explanation . It explains why someone did something or why something happened|Based_on|has nothing to do with judgment , conception , reasoning and intuition for that matter
128|An , on the other hand , is also a type of reason that specifically justifies or defends a fault|Based_on|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too
129|An , on the other hand , is also a type of reason that specifically justifies or defends a fault|Based_on|has nothing to do with judgment , conception , reasoning and intuition for that matter
130|: A reason simply refers to a cause or explanation|defines|Reason
131|: An excuse is a type of reason that specifically justifies or defends a fault|defines|Excuse
132|: A reason simply refers to a cause or explanation|defines|Reason
133|: An excuse is a type of reason that specifically justifies or defends a fault|defines|Excuse
134|: A reason simply refers to a cause or explanation|opposed|: An excuse is a type of reason that specifically justifies or defends a fault
135|: A reason simply refers to a cause or explanation|opposed|: An excuse is a type of reason that specifically justifies or defends a fault
136|: A reason simply refers to a cause or explanation|Based_on|: A reason simply refers to a cause or explanation
